pclass,survived,Residence,name,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest,Gender,Rfare,RFR001,Fare_BC
3,0,2,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40,1,0,7546,9.475, ,S, , ,"Sweden Akeley, MN",1,470,.359327217125382,14.6490409556424
3,1,1,"Aks, Master. Philip Frank",.8333,0,1,392091,9.35, ,S,11, ,"London, England Norfolk, VA",0,468,.357798165137615,14.4372052201468
3,1,2,"Aks, Mrs. Sam (Leah Rosen)",18,0,1,392091,9.35, ,S,13, ,"London, England Norfolk, VA",1,468,.357798165137615,14.4372052201468
3,1,2,"Albimona, Mr. Nassef Cassem",26,0,0,2699,18.7875, ,C,15, ,"Syria Fredericksburg, VA",0,743.5,.568425076452599,42.2169318233877
2,0,0,"Aldworth, Mr. Charles Augustus",30,0,0,248744,13, ,S, , ,"Bryn Mawr, PA, USA",0,592,.452599388379205,27.1312152712863
3,0,1,"Alexander, Mr. William",26,0,0,3474,7.8875, ,S, , ,"England Albion, NY",0,287.5,.21980122324159,-6.70694995370426
3,0,2,"Alhomaki, Mr. Ilmari Rudolf",20,0,0,SOTON/O2 3101287,7.925, ,S, , ,"Salo, Finland Astoria, OR",0,349,.266819571865443,1.07777510586357
3,0,2,"Ali, Mr. Ahmed",24,0,0,SOTON/O.Q. 3101311,7.05, ,S, , , ,0,43,.0328746177370031,-61.9471526367519
3,0,2,"Ali, Mr. William",25,0,0,SOTON/O.Q. 3101312,7.05, ,S, ,79,Argentina,0,43,.0328746177370031,-61.9471526367519
1,1,0,"Allen, Miss. Elisabeth Walton",29,0,0,24160,211.3375,B5,S,2, ,"St Louis, MO",1,1272.5,.972859327217125,132.909440014932
3,0,1,"Allen, Mr. William Henry",35,0,0,373450,8.05, ,S, , ,"Lower Clapton, Middlesex or Erdington, Birmingham",0,391.5,.299311926605505,6.05074478589431
1,1,2,"Allison, Master. Hudson Trevor",.9167,1,2,113781,151.55,C22 C26,S,11, ,"Montreal, PQ / Chesterville, ON",0,1260.5,.96368501529052,126.210022788102
1,0,2,"Allison, Miss. Helen Loraine",2,1,2,113781,151.55,C22 C26,S, , ,"Montreal, PQ / Chesterville, ON",1,1260.5,.96368501529052,126.210022788102
1,0,2,"Allison, Mr. Hudson Joshua Creighton",30,1,2,113781,151.55,C22 C26,S, ,135,"Montreal, PQ / Chesterville, ON",0,1260.5,.96368501529052,126.210022788102
1,0,2,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",25,1,2,113781,151.55,C22 C26,S, , ,"Montreal, PQ / Chesterville, ON",1,1260.5,.96368501529052,126.210022788102
3,0,1,"Allum, Mr. Owen George",18,0,0,2223,8.3, ,S, ,259,"Windsor, England New York, NY",0,426,.325688073394495,9.90828031078992
3,1,2,"Andersen-Jensen, Miss. Carla Christine Nielsine",19,1,0,350046,7.8542, ,S,16, , ,1,265,.202599388379205,-9.78698828699505
3,0,2,"Andersen, Mr. Albert Karvin",32,0,0,C 4001,22.525, ,S, ,260,"Bergen, Norway",0,795,.607798165137615,47.455888518695
1,1,0,"Anderson, Mr. Harry",48,0,0,19952,26.55,E12,S,3, ,"New York, NY",0,904.5,.69151376146789,59.1823771415937
3,0,2,"Andersson, Master. Sigvard Harald Elias",4,4,2,347082,31.275, ,S, , ,"Sweden Winnipeg, MN",0,982,.750764525993884,68.3308177848182
3,0,2,"Andersson, Miss. Ebba Iris Alfrida",6,4,2,347082,31.275, ,S, , ,"Sweden Winnipeg, MN",1,982,.750764525993884,68.3308177848182
3,0,2,"Andersson, Miss. Ellis Anna Maria",2,4,2,347082,31.275, ,S, , ,"Sweden Winnipeg, MN",1,982,.750764525993884,68.3308177848182
3,1,2,"Andersson, Miss. Erna Alexandra",17,4,2,3101281,7.925, ,S,D, ,"Ruotsinphyhtaa, Finland New York, NY",1,349,.266819571865443,1.07777510586357
3,0,2,"Andersson, Miss. Ida Augusta Margareta",38,4,2,347091,7.775, ,S, , ,"Vadsbro, Sweden Ministee, MI",1,223.5,.170871559633028,-15.9128506854793
3,0,2,"Andersson, Miss. Ingeborg Constanzia",9,4,2,347082,31.275, ,S, , ,"Sweden Winnipeg, MN",1,982,.750764525993884,68.3308177848182
3,0,2,"Andersson, Miss. Sigrid Elisabeth",11,4,2,347082,31.275, ,S, , ,"Sweden Winnipeg, MN",1,982,.750764525993884,68.3308177848182
3,0,2,"Andersson, Mr. Anders Johan",39,1,5,347082,31.275, ,S, , ,"Sweden Winnipeg, MN",0,982,.750764525993884,68.3308177848182
3,1,2,"Andersson, Mr. August Edvard (""Wennerstrom"")",27,0,0,350043,7.7958, ,S,A, , ,0,243.5,.186162079510703,-12.8798751139237
3,0,2,"Andersson, Mr. Johan Samuel",26,0,0,347075,7.775, ,S, , ,"Hartford, CT",0,223.5,.170871559633028,-15.9128506854793
3,0,2,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",39,1,5,347082,31.275, ,S, , ,"Sweden Winnipeg, MN",1,982,.750764525993884,68.3308177848182
3,0,2,"Andreasson, Mr. Paul Edvin",20,0,0,347466,7.8542, ,S, , ,"Sweden Chicago, IL",0,265,.202599388379205,-9.78698828699505
2,0,2,"Andrew, Mr. Edgardo Samuel",18,0,0,231945,11.5, ,S, , ,"Buenos Aires, Argentina / New Jersey, NJ",0,539.5,.412461773700306,21.8456072405085
2,0,1,"Andrew, Mr. Frank Thomas",25,0,0,C.A. 34050,10.5, ,S, , ,"Cornwall, England Houghton, MI",0,512,.391437308868502,19.0321115380284
1,1,0,"Andrews, Miss. Kornelia Theodosia",63,1,0,13502,77.9583,D7,S,10, ,"Hudson, NY",1,1176,.899082568807339,99.3572331844828
1,0,2,"Andrews, Mr. Thomas Jr",39,0,0,112050,0,A36,S, , ,"Belfast, NI",0,9,.00688073394495413,-94.2083719232876
3,0,2,"Angheloff, Mr. Minko",26,0,0,349202,7.8958, ,S, , ,"Bulgaria Chicago, IL",0,313,.239296636085627,-3.37898124803169
2,0,1,"Angle, Mr. William A",34,1,0,226875,26, ,S, , ,"Warwick, England",0,857.5,.655581039755352,54.0213585575019
2,1,1,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",36,1,0,226875,26, ,S,11, ,"Warwick, England",1,857.5,.655581039755352,54.0213585575019
1,1,2,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",53,2,0,11769,51.4792,C101,S,D, ,"Bayside, Queens, NY",1,1071.5,.819189602446483,80.5139530446157
3,0,2,"Arnold-Franchi, Mr. Josef",25,1,0,349237,17.8, ,S, , ,"Altdorf, Switzerland",0,734.5,.561544342507645,41.31218521071
3,0,2,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18,1,0,349237,17.8, ,S, , ,"Altdorf, Switzerland",1,734.5,.561544342507645,41.31218521071
3,0,2,"Aronsson, Mr. Ernst Axel Algot",24,0,0,349911,7.775, ,S, , ,"Sweden Joliet, IL",0,223.5,.170871559633028,-15.9128506854793
1,0,2,"Artagaveytia, Mr. Ramon",71,0,0,PC 17609,49.5042, ,C, ,22,"Montevideo, Uruguay",0,1065.5,.81460244648318,79.6187332173455
2,0,0,"Ashby, Mr. John",57,0,0,244346,13, ,S, , ,"West Hoboken, NJ",0,592,.452599388379205,27.1312152712863
3,0,2,"Asim, Mr. Adola",35,0,0,SOTON/O.Q. 3101310,7.05, ,S, , , ,0,43,.0328746177370031,-61.9471526367519
3,0,2,"Asplund, Master. Carl Edgar",5,4,2,347077,31.3875, ,S, , ,"Sweden  Worcester, MA",0,989,.75611620795107,69.2089710215073
3,0,2,"Asplund, Master. Clarence Gustaf Hugo",9,4,2,347077,31.3875, ,S, , ,"Sweden Worcester, MA",0,989,.75611620795107,69.2089710215073
3,1,2,"Asplund, Master. Edvin Rojj Felix",3,4,2,347077,31.3875, ,S,15, ,"Sweden Worcester, MA",0,989,.75611620795107,69.2089710215073
3,0,2,"Asplund, Master. Filip Oscar",13,4,2,347077,31.3875, ,S, , ,"Sweden Worcester, MA",0,989,.75611620795107,69.2089710215073
3,1,2,"Asplund, Miss. Lillian Gertrud",5,4,2,347077,31.3875, ,S,15, ,"Sweden Worcester, MA",1,989,.75611620795107,69.2089710215073
3,0,2,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",40,1,5,347077,31.3875, ,S, ,142,"Sweden  Worcester, MA",0,989,.75611620795107,69.2089710215073
3,1,2,"Asplund, Mr. Johan Charles",23,0,0,350054,7.7958, ,S,13, ,"Oskarshamn, Sweden Minneapolis, MN",0,243.5,.186162079510703,-12.8798751139237
3,1,2,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38,1,5,347077,31.3875, ,S,15, ,"Sweden  Worcester, MA",1,989,.75611620795107,69.2089710215073
3,1,2,"Assaf Khalil, Mrs. Mariana (""Miriam"")",45,0,0,2696,7.225, ,C,C, ,"Ottawa, ON",1,65,.0496941896024465,-51.9937828715428
3,0,2,"Assaf, Mr. Gerios",21,0,0,2692,7.225, ,C, , ,"Ottawa, ON",0,65,.0496941896024465,-51.9937828715428
3,0,2,"Assam, Mr. Ali",23,0,0,SOTON/O.Q. 3101309,7.05, ,S, , , ,0,43,.0328746177370031,-61.9471526367519
1,0,0,"Astor, Col. John Jacob",47,1,0,PC 17757,227.525,C62 C64,C, ,124,"New York, NY",0,1286,.983180428134557,143.250110889787
1,1,0,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",18,1,0,PC 17757,227.525,C62 C64,C,4, ,"New York, NY",1,1286,.983180428134557,143.250110889787
3,0,2,"Attalah, Miss. Malake",17,0,0,2627,14.4583, ,C, , , ,1,659.5,.504204892966361,33.8410518455065
3,0,2,"Attalah, Mr. Sleiman",30,0,0,2694,7.225, ,C, , ,"Ottawa, ON",0,65,.0496941896024465,-51.9937828715428
1,1,2,"Aubart, Mme. Leontine Pauline",24,0,0,PC 17477,69.3,B35,C,9, ,"Paris, France",1,1140.5,.871941896024465,92.0736099781624
3,0,2,"Augustsson, Mr. Albert",23,0,0,347468,7.8542, ,S, , ,"Krakoryd, Sweden Bloomington, IL",0,265,.202599388379205,-9.78698828699505
3,1,2,"Ayoub, Miss. Banoura",13,0,0,2687,7.2292, ,C,C, ,"Syria Youngstown, OH",1,87.5,.0668960244648318,-44.3070271347184
3,0,2,"Baccos, Mr. Raffull",20,0,0,2679,7.225, ,C, , , ,0,65,.0496941896024465,-51.9937828715428
3,0,2,"Backstrom, Mr. Karl Alfred",32,1,0,3101278,15.85, ,S,D, ,"Ruotsinphytaa, Finland New York, NY",0,709.5,.542431192660551,38.8109324848864
3,1,2,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33,3,0,3101278,15.85, ,S, , ,"Ruotsinphytaa, Finland New York, NY",1,709.5,.542431192660551,38.8109324848864
3,1,2,"Baclini, Miss. Eugenie",.75,2,1,2666,19.2583, ,C,C, ,"Syria New York, NY",1,746.5,.570718654434251,42.5191071252555
3,1,2,"Baclini, Miss. Helene Barbara",.75,2,1,2666,19.2583, ,C,C, ,"Syria New York, NY",1,746.5,.570718654434251,42.5191071252555
3,1,2,"Baclini, Miss. Marie Catherine",5,2,1,2666,19.2583, ,C,C, ,"Syria New York, NY",1,746.5,.570718654434251,42.5191071252555
3,1,2,"Baclini, Mrs. Solomon (Latifa Qurban)",24,0,3,2666,19.2583, ,C,C, ,"Syria New York, NY",1,746.5,.570718654434251,42.5191071252555
3,1,1,"Badman, Miss. Emily Louisa",18,0,0,A/4 31416,8.05, ,S,C, ,"London Skanteales, NY",1,391.5,.299311926605505,6.05074478589431
3,0,2,"Badt, Mr. Mohamed",40,0,0,2623,7.225, ,C, , , ,0,65,.0496941896024465,-51.9937828715428
2,0,1,"Bailey, Mr. Percy Andrew",18,0,0,29108,11.5, ,S, , ,"Penzance, Cornwall / Akron, OH",0,539.5,.412461773700306,21.8456072405085
2,0,2,"Baimbrigge, Mr. Charles Robert",23,0,0,C.A. 31030,10.5, ,S, , ,Guernsey,0,512,.391437308868502,19.0321115380284
3,0,2,"Balkic, Mr. Cerin",26,0,0,349248,7.8958, ,S, , , ,0,313,.239296636085627,-3.37898124803169
2,1,1,"Ball, Mrs. (Ada E Hall)",36,0,0,28551,13,D,S,10, ,"Bristol, Avon / Jacksonville, FL",1,592,.452599388379205,27.1312152712863
2,0,1,"Banfield, Mr. Frederick James",28,0,0,C.A./SOTON 34068,10.5, ,S, , ,"Plymouth, Dorset / Houghton, MI",0,512,.391437308868502,19.0321115380284
3,1,2,"Barah, Mr. Hanna Assi",20,0,0,2663,7.2292, ,C,15, , ,0,87.5,.0668960244648318,-44.3070271347184
3,0,2,"Barbara, Miss. Saiide",18,0,1,2691,14.4542, ,C, , ,"Syria Ottawa, ON",1,652.5,.498853211009174,33.146715683077
3,0,2,"Barbara, Mrs. (Catherine David)",45,0,1,2691,14.4542, ,C, , ,"Syria Ottawa, ON",1,652.5,.498853211009174,33.146715683077
1,1,2,"Barber, Miss. Ellen ""Nellie""",26,0,0,19877,78.85, ,S,6, , ,1,1181,.902905198776758,100.492977221883
1,1,1,"Barkworth, Mr. Algernon Henry Wilson",80,0,0,27042,30,A23,S,B, ,"Hessle, Yorks",0,962,.735474006116208,65.8751929380871
3,0,0,"Barry, Miss. Julia",27,0,0,330844,7.8792, ,Q, , ,"New York, NY",1,281.5,.215214067278287,-7.51410132402977
3,0,1,"Barton, Mr. David John",22,0,0,324669,8.05, ,S, , ,"England New York, NY",0,391.5,.299311926605505,6.05074478589431
2,0,0,"Bateman, Rev. Robert James",51,0,0,S.O.P. 1166,12.525, ,S, ,174,"Jacksonville, FL",0,558,.426605504587156,23.7189564942177
1,0,0,"Baumann, Mr. John D", ,0,0,PC 17318,25.925, ,S, , ,"New York, NY",0,830,.634556574923547,51.0976907283438
1,0,2,"Baxter, Mr. Quigg Edmond",24,0,1,PC 17558,247.5208,B58 B60,C, , ,"Montreal, PQ",0,1290,.986238532110092,147.372645176645
1,1,2,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",50,0,1,PC 17558,247.5208,B58 B60,C,6, ,"Montreal, PQ",1,1290,.986238532110092,147.372645176645
1,1,2,"Bazzani, Miss. Albina",32,0,0,11813,76.2917,D15,C,8, , ,1,1168.5,.893348623853211,97.7109726964841
2,1,0,"Beane, Mr. Edward",32,1,0,2908,26, ,S,13, ,"Norwich / New York, NY",0,857.5,.655581039755352,54.0213585575019
2,1,1,"Beane, Mrs. Edward (Ethel Clarke)",19,1,0,2908,26, ,S,13, ,"Norwich / New York, NY",1,857.5,.655581039755352,54.0213585575019
1,0,2,"Beattie, Mr. Thomson",36,0,0,13050,75.2417,C6,C,A, ,"Winnipeg, MN",0,1164.5,.890290519877676,96.8590086106142
2,0,1,"Beauchamp, Mr. Henry James",28,0,0,244358,26, ,S, , ,England,0,857.5,.655581039755352,54.0213585575019
3,0,1,"Beavan, Mr. William Thomas",19,0,0,323951,8.05, ,S, , ,England,0,391.5,.299311926605505,6.05074478589431
2,1,2,"Becker, Master. Richard F",1,2,1,230136,39,F4,S,11, ,"Guntur, India / Benton Harbour, MI",0,1029,.786697247706422,74.4443542659164
2,1,2,"Becker, Miss. Marion Louise",4,2,1,230136,39,F4,S,11, ,"Guntur, India / Benton Harbour, MI",1,1029,.786697247706422,74.4443542659164
2,1,2,"Becker, Miss. Ruth Elizabeth",12,2,1,230136,39,F4,S,13, ,"Guntur, India / Benton Harbour, MI",1,1029,.786697247706422,74.4443542659164
2,1,2,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",36,0,3,230136,39,F4,S,11, ,"Guntur, India / Benton Harbour, MI",1,1029,.786697247706422,74.4443542659164
1,1,0,"Beckwith, Mr. Richard Leonard",37,1,1,11751,52.5542,D35,S,5, ,"New York, NY",0,1086.5,.83065749235474,82.8164727360588
1,1,0,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",47,1,1,11751,52.5542,D35,S,5, ,"New York, NY",1,1086.5,.83065749235474,82.8164727360588
2,1,1,"Beesley, Mr. Lawrence",34,0,0,248698,13,D56,S,13, ,London,0,592,.452599388379205,27.1312152712863
1,1,0,"Behr, Mr. Karl Howell",26,0,0,111369,30,C148,C,5, ,"New York, NY",0,962,.735474006116208,65.8751929380871
3,0,2,"Bengtsson, Mr. John Viktor",26,0,0,347068,7.775, ,S, , ,"Krakudden, Sweden Moune, IL",0,223.5,.170871559633028,-15.9128506854793
2,1,0,"Bentham, Miss. Lilian W",19,0,0,28404,13, ,S,12, ,"Rochester, NY",1,592,.452599388379205,27.1312152712863
3,0,2,"Berglund, Mr. Karl Ivar Sven",22,0,0,PP 4348,9.35, ,S, , ,"Tranvik, Finland New York",0,468,.357798165137615,14.4372052201468
2,0,1,"Berriman, Mr. William John",23,0,0,28425,13, ,S, , ,"St Ives, Cornwall / Calumet, MI",0,592,.452599388379205,27.1312152712863
3,0,2,"Betros, Master. Seman", ,0,0,2622,7.2292, ,C, , , ,0,87.5,.0668960244648318,-44.3070271347184
3,0,2,"Betros, Mr. Tannous",20,0,0,2648,4.0125, ,C, , ,Syria,0,19,.014525993883792,-79.682308979788
1,1,2,"Bidois, Miss. Rosalie",42,0,0,PC 17757,227.525, ,C,4, , ,1,1286,.983180428134557,143.250110889787
3,1,2,"Bing, Mr. Lee",32,0,0,1601,56.4958, ,S,C, ,"Hong Kong New York, NY",0,1106.5,.845948012232416,86.0483782250115
1,1,2,"Bird, Miss. Ellen",29,0,0,PC 17483,221.7792,C97,S,8, , ,1,1281.5,.979740061162079,139.318458623215
3,0,2,"Birkeland, Mr. Hans Martin Monsen",21,0,0,312992,7.775, ,S, , ,"Brennes, Norway New York",0,223.5,.170871559633028,-15.9128506854793
1,0,2,"Birnbaum, Mr. Jakob",25,0,0,13905,26, ,C, ,148,"San Francisco, CA",0,857.5,.655581039755352,54.0213585575019
1,1,0,"Bishop, Mr. Dickinson H",25,1,0,11967,91.0792,B49,C,7, ,"Dowagiac, MI",0,1219.5,.932339449541284,110.594155717319
1,1,0,"Bishop, Mrs. Dickinson H (Helen Walton)",19,1,0,11967,91.0792,B49,C,7, ,"Dowagiac, MI",1,1219.5,.932339449541284,110.594155717319
1,1,2,"Bissette, Miss. Amelia",35,0,0,PC 17760,135.6333,C99,S,8, , ,1,1250.5,.956039755351682,121.620150417226
3,0,2,"Bjorklund, Mr. Ernst Herbert",18,0,0,347090,7.75, ,S, , ,"Stockholm, Sweden New York",0,183,.139908256880734,-22.6417312338616
1,1,2,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",28,0,0,110564,26.55,C52,S,D, ,"Stockholm, Sweden / Washington, DC",0,904.5,.69151376146789,59.1823771415937
1,0,0,"Blackwell, Mr. Stephen Weart",45,0,0,113784,35.5,T,S, , ,"Trenton, NJ",0,1015.5,.776376146788991,72.6326848072528
1,1,0,"Blank, Mr. Henry",40,0,0,112277,31,A31,C,7, ,"Glen Ridge, NJ",0,977,.746941896024465,67.7096978988555
1,1,0,"Bonnell, Miss. Caroline",30,0,0,36928,164.8667,C7,S,8, ,"Youngstown, OH",1,1268.5,.96980122324159,130.492082360178
1,1,1,"Bonnell, Miss. Elizabeth",58,0,0,113783,26.55,C103,S,8, ,"Birkdale, England Cleveland, Ohio",1,904.5,.69151376146789,59.1823771415937
1,0,1,"Borebank, Mr. John James",42,0,0,110489,26.55,D22,S, , ,"London / Winnipeg, MB",0,904.5,.69151376146789,59.1823771415937
3,0,2,"Bostandyeff, Mr. Guentcho",26,0,0,349224,7.8958, ,S, , ,"Bulgaria Chicago, IL",0,313,.239296636085627,-3.37898124803169
2,0,0,"Botsford, Mr. William Hull",26,0,0,237670,13, ,S, , ,"Elmira, NY / Orange, NJ",0,592,.452599388379205,27.1312152712863
3,0,2,"Boulos, Master. Akar",6,1,1,2678,15.2458, ,C, , ,"Syria Kent, ON",0,685,.523700305810398,36.3721825733464
3,0,2,"Boulos, Miss. Nourelain",9,1,1,2678,15.2458, ,C, , ,"Syria Kent, ON",1,685,.523700305810398,36.3721825733464
3,0,2,"Boulos, Mr. Hanna", ,0,0,2664,7.225, ,C, , ,Syria,0,65,.0496941896024465,-51.9937828715428
3,0,2,"Boulos, Mrs. Joseph (Sultana)", ,0,2,2678,15.2458, ,C, , ,"Syria Kent, ON",1,685,.523700305810398,36.3721825733464
3,0,2,"Bourke, Miss. Mary", ,0,2,364848,7.75, ,Q, , ,"Ireland Chicago, IL",1,183,.139908256880734,-22.6417312338616
3,0,2,"Bourke, Mr. John",40,1,1,364849,15.5, ,Q, , ,"Ireland Chicago, IL",0,694.5,.530963302752294,37.3167126917938
3,0,2,"Bourke, Mrs. John (Catherine)",32,1,1,364849,15.5, ,Q, , ,"Ireland Chicago, IL",1,694.5,.530963302752294,37.3167126917938
1,1,0,"Bowen, Miss. Grace Scott",45,0,0,PC 17608,262.375, ,C,4, ,"Cooperstown, NY",1,1295,.990061162079511,153.823267445992
3,0,2,"Bowen, Mr. David John ""Dai""",21,0,0,54636,16.1, ,S, , ,"Treherbert, Cardiff, Wales",0,722.5,.55237003058104,40.1096072013832
2,0,2,"Bowenur, Mr. Solomon",42,0,0,211535,13, ,S, , ,London,0,592,.452599388379205,27.1312152712863
1,1,1,"Bowerman, Miss. Elsie Edith",22,0,1,113505,55,E33,S,6, ,"St Leonards-on-Sea, England Ohio",1,1095.5,.837538226299694,84.2462430245112
2,0,0,"Bracken, Mr. James H",27,0,0,220367,13, ,S, , ,"Lake Arthur, Chavez County, NM",0,592,.452599388379205,27.1312152712863
3,1,2,"Bradley, Miss. Bridget Delia",22,0,0,334914,7.725, ,Q,13, ,"Kingwilliamstown, Co Cork, Ireland Glens Falls, NY",1,143.5,.109709480122324,-30.2680086106142
1,1,2,"Bradley, Mr. George (""George Arthur Brayton"")", ,0,0,111427,26.55, ,S,9, ,"Los Angeles, CA",0,904.5,.69151376146789,59.1823771415937
1,0,0,"Brady, Mr. John Bertram",41,0,0,113054,30.5,A21,S, , ,"Pomeroy, WA",0,970.5,.74197247706422,66.9095681909711
3,0,2,"Braf, Miss. Elin Ester Maria",20,0,0,347471,7.8542, ,S, , ,"Medeltorp, Sweden Chicago, IL",1,265,.202599388379205,-9.78698828699505
1,0,0,"Brandeis, Mr. Emil",48,0,0,PC 17591,50.4958,B10,C, ,208,"Omaha, NE",0,1069.5,.817660550458716,80.2139874891916
3,0,1,"Braund, Mr. Lewis Richard",29,1,0,3460,7.0458, ,S, , ,"Bridgerule, Devon",0,38,.0290519877675841,-64.7826583151972
3,0,1,"Braund, Mr. Owen Harris",22,1,0,A/5 21171,7.25, ,S, , ,"Bridgerule, Devon",0,108.5,.0829510703363914,-38.4157124358353
1,0,0,"Brewe, Dr. Arthur Jackson", ,0,0,112379,39.6, ,C, , ,"Philadelphia, PA",0,1036,.792048929663609,75.4038247595694
3,0,2,"Brobeck, Mr. Karl Rudolf",22,0,0,350045,7.7958, ,S, , ,"Sweden Worcester, MA",0,243.5,.186162079510703,-12.8798751139237
3,0,1,"Brocklebank, Mr. William Alfred",35,0,0,364512,8.05, ,S, , ,"Broomfield, Chelmsford, England",0,391.5,.299311926605505,6.05074478589431
2,1,1,"Brown, Miss. Amelia ""Mildred""",24,0,0,248733,13,F33,S,11, ,"London / Montreal, PQ",1,592,.452599388379205,27.1312152712863
2,1,2,"Brown, Miss. Edith Eileen",15,0,2,29750,39, ,S,14, ,"Cape Town, South Africa / Seattle, WA",1,1029,.786697247706422,74.4443542659164
2,0,2,"Brown, Mr. Thomas William Solomon",60,1,1,29750,39, ,S, , ,"Cape Town, South Africa / Seattle, WA",0,1029,.786697247706422,74.4443542659164
1,1,2,"Brown, Mrs. James Joseph (Margaret Tobin)",44,0,0,PC 17610,27.7208,B4,C,6, ,"Denver, CO",1,924,.706422018348624,61.3984912084022
1,1,2,"Brown, Mrs. John Murray (Caroline Lane Lamson)",59,2,0,11769,51.4792,C101,S,D, ,"Belmont, MA",1,1071.5,.819189602446483,80.5139530446157
2,1,2,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",40,1,1,29750,39, ,S,14, ,"Cape Town, South Africa / Seattle, WA",1,1029,.786697247706422,74.4443542659164
2,1,2,"Bryhl, Miss. Dagmar Jenny Ingeborg",20,1,0,236853,26, ,S,12, ,"Skara, Sweden / Rockford, IL",1,857.5,.655581039755352,54.0213585575019
2,0,2,"Bryhl, Mr. Kurt Arnold Gottfrid",25,1,0,236853,26, ,S, , ,"Skara, Sweden / Rockford, IL",0,857.5,.655581039755352,54.0213585575019
3,0,2,"Buckley, Miss. Katherine",18.5,0,0,329944,7.2833, ,Q, ,299,"Co Cork, Ireland Roxbury, MA",1,118,.0902140672782875,-36.0320280053132
3,1,2,"Buckley, Mr. Daniel",21,0,0,330920,7.8208, ,Q,13, ,"Kingwilliamstown, Co Cork, Ireland New York, NY",0,250,.191131498470948,-11.9278224598096
1,1,0,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",60,0,0,11813,76.2917,D15,C,8, ,"Philadelphia, PA",1,1168.5,.893348623853211,97.7109726964841
3,0,2,"Burke, Mr. Jeremiah",19,0,0,365222,6.75, ,Q, , ,"Co Cork, Ireland Charlestown, MA",0,29.5,.0225535168195719,-70.4110160995529
1,1,2,"Burns, Miss. Elizabeth Margaret",41,0,0,16966,134.5,E40,C,3, , ,1,1246,.952599388379205,119.763400356681
3,0,2,"Burns, Miss. Mary Delia",18,0,0,330963,7.8792, ,Q, , ,"Co Sligo, Ireland New York, NY",1,281.5,.215214067278287,-7.51410132402977
2,1,1,"Buss, Miss. Kate",36,0,0,27849,13, ,S,9, ,"Sittingbourne, England / San Diego, CA",1,592,.452599388379205,27.1312152712863
